GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ff4j-sample-web,org.ff4j.sample,MockAuthorisationManager,27,0,0,0,8,0,4,0,4,0
ff4j-sample-web,org.ff4j.sample,SimpleFF4jProvider,0,242,0,8,0,48,0,11,0,7
